Index,Name,Z_Classification,Subgroup_2,Subgroup_3,Subgroup_4,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,total amount
 ZB5K383-3XL, PASADER navy blue fleece sweatshirt 3XL (58), A, BODY PROTECTION, CLOTHES, HOODIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,6,4,35,6,6,49,73,29,9,37,2,1,7,15,5,29,97,81,50,82,50,27,8,36,40,30,7,8,20,15,903
 ZB5K804-L, KALMIT protective overalls light gray L (52), B, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE Dungarees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,62,78,156,23,68,16,19,15,19,81,66,34,19,21,42,22,16,7,48,6,12,28,1,8,12,2,907
 ZB5K454-41-42, SAAR short socks light gray/green 41-42 (3 pairs/pack), C, BODY PROTECTION, CLOTHING ACCESSORIES, SOCKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,84,32,14,46,34,6,34,13,48,16,7,25,18,51,55,56,6,26,30,42,40,8,22,11,50,26,36,12,14,1,0,901
ZB5K362-M, SALM protective overalls white M (50), D, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE Dungarees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,9,5,15,13,1,27,0,0,16,2,33,14,7,2,1,67,25,8,2,2,415,50,8,0,36,14,0,2,9,2,2,43,1,5,16,2,21,8,0,2,908
 ZB5K339-M, ROSSEL warning T-shirt orange M (50), B, BODY PROTECTION, WARNING CLOTHING, T-SHIRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,29,29,42,69,7,4,1,2,0,2,0,19,4,20,151,29,5,13,0,12,15,5,6,19,32,98,157,80,23,2,901
 ZB5K517-45, ZORGE high safety boots S1P SRC black 45, A, LEG PROTECTION, SAFE SHOES, SHOES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,4,13,15,0,0,0,1,27,32,18,32,9,42,221,113,19,13,13,34,14,43,89,33,26,20,12,12,2,0,15,9,20,4,918
 ZB5K246-L, NIMS warning rain jacket yellow L (52), B, BODY PROTECTION, WARNING CLOTHING, JACKET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,7,8,13,4,4,4,1,12,4,20,34,62,8,4,44,41,23,14,8,27,11,19,53,33,33,14,56,40,36,14,1,9,14,27,69,30,12,11,28,16,903
 ZB5K400-L, SEEVE polyester T-shirt blue L (52), D, BODY PROTECTION, CLOTHES, T-SHIRT,0,0,0,0,0,131,11,21,5,20,2,0,0,5,4,0,20,91,22,19,16,6,8,2,4,0,1,7,11,63,21,20,4,7,0,9,1,0,13,7,129,16,7,2,1,8,5,5,14,12,6,1,36,6,21,94,0,913
 ZB5K355-S, EMS protective trousers blue jeans S (48), A, BODY PROTECTION, PROTECTIVE CLOTHING, PROTECTIVE TROUSERS,0,0,0,0,0,0,0,0,41,42,29,11,5,9,7,1,11,2,18,0,16,26,20,2,6,16,43,22,19,22,16,19,27,22,15,16,12,25,13,27,23,1,11,11,55,44,26,15,26,15,54,14,15,4,2,16,1,894
 ZB5K376-XL, ALAND warning fleece sweatshirt yellow XL (54), B, BODY PROTECTION, WARNING CLOTHING, HOODIE,0,0,0,0,0,0,0,0,0,13,15,11,7,9,6,2,14,4,1,1,7,21,19,20,21,8,8,25,4,6,1,21,46,28,84,11,9,42,8,19,61,22,2,23,41,39,28,22,21,26,62,21,27,7,8,1,8,910
 ZB5K418-L," TOBIAS cotton polo, white L (52)", C, BODY PROTECTION, CLOTHES, POLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,22,8,98,133,59,16,32,12,6,2,5,28,4,80,53,15,5,11,16,7,8,20,27,13,27,30,41,54,50,2,894
